retina,id,i,j,unit_num,ntrials,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(3, 6)_1",3,6,1,18,0,0,0,0,0,0,0,0,0,0,6,10,2,0,0,6,71,6,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(3, 6)_3",3,6,3,18,0,0,0,0,0,0,0,0,0,1,46,110,33,15,24,15,31,9,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(3, 6)_0",3,6,0,18,0,0,0,1,0,0,0,0,0,0,41,78,23,28,24,13,25,11,3,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(3, 6)_5",3,6,5,18,0,0,0,0,0,0,0,0,0,0,4,20,7,0,2,3,32,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(3, 6)_4",3,6,4,18,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(3, 6)_2",3,6,2,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(3, 7)_0",3,7,0,18,0,0,0,0,0,0,0,0,0,0,17,51,31,26,21,21,73,13,7,4,3,3,1,0,1,0,0,0,0,1,1,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(3, 7)_2",3,7,2,18,0,0,0,0,0,0,0,0,0,0,26,81,38,18,11,21,69,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(3, 7)_5",3,7,5,18,0,0,5,1,1,0,0,0,0,0,11,18,8,0,0,10,90,18,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(3, 7)_3",3,7,3,18,0,0,0,0,0,0,0,0,0,0,10,7,3,0,1,5,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(3, 7)_4",3,7,4,18,0,0,0,0,0,0,0,0,0,1,11,27,7,5,1,3,10,5,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(3, 7)_1",3,7,1,18,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(3, 5)_6",3,5,6,18,22,18,16,22,19,14,14,19,20,17,20,29,31,25,24,27,40,35,24,32,19,20,26,19,18,20,19,21,16,19,23,16,17,16,25.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(3, 5)_3",3,5,3,18,2,9,0,2,2,2,4,0,2,5,18,57,33,17,12,21,70,24,14,10,7,3,4,2,2,4,3,3,1,1,6,2,4,2,4.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(3, 5)_0",3,5,0,18,8,8,8,9,5,7,9,9,7,9,17,34,26,17,9,14,62,30,28,17,15,10,11,11,11,9,8,7,11,8,13,7,16,8,4.0
R1_E1_AMES_130min_checkerboard_contrast,"R1_E1_AMES_130min_checkerboard_contrast_(3, 5)_5",3,5,5,18,0,1,0,0,0,0,1,1,0,0,6,14,1,1,2,4,17,15,18,10,5,3,3,4,2,2,0,2,1,1,1,3,1,2,0.0
